,Wish You Were Here by Pink Floyd,A-Punk by Vampire Weekend,I'm a Mess by Bebe Rexha,Fight Song by Rachel Platten,Good as Hell by Lizzo,Lemon by N.E.R.D
Can You Hear Him by Kamasi Washington,0.970757243253594,0.9629845842885298,0.9659988491565544,0.9519945663795834,0.9546618475369448,0.9463755231721711
Hurts Like Hell (feat. Offset) by Madison Beer,0.9532815919444726,0.9431985043120713,0.9620267286454343,0.9307053288428611,0.9547170158774106,0.9479760610196117
Dark All Day by Gunship,0.9618107372530103,0.9528885051903083,0.9707622533193119,0.9450812202426948,0.9566751177593242,0.9585556158815893
Warrior by Reagan Strange,0.9618319173571419,0.9518391120042895,0.9601941292691196,0.9377774888021917,0.9474623914509167,0.9397131217865042
Soltero by Jon Z,0.9582391317101867,0.9494624287502366,0.9643516467947184,0.9412403286614262,0.950643296540742,0.9483858395629506
Drive My Car by Landon Cube,0.9545223615104745,0.9446990064919674,0.9544645848716433,0.9336887633274272,0.940946776004491,0.9402023666451723
Mad Crazy Love by Tenille Arts,0.9629183451997241,0.9546862896496849,0.9657467967486488,0.9453525454653379,0.9534923659226225,0.9500795616621363
The Great Divide by Light The Torch,0.9571217187953813,0.9555650398338196,0.965742311493367,0.9617445624190892,0.9463961077510595,0.9506625479973604
Sunset Shore by Týr,0.968478888701947,0.9593706504647015,0.9689223386897197,0.946692191765889,0.9556028893670447,0.9503653899464432
Wait so Long by Trampled by Turtles,0.9639394328034508,0.9545762026435122,0.9620384576135736,0.9462706415344576,0.9432757385540467,0.9418112977093251
Black Orchid by Justin Furstenfeld,0.9556308607437711,0.9408510195572535,0.9505624938144208,0.9207213272148345,0.9462387727882929,0.9347263582105785
Hatsukoi by Hikaru Utada,0.9693793629174877,0.9567410442021747,0.9605294960118032,0.9383546681618905,0.9485488290589789,0.9389089409577223
1994 by Alec Benjamin,0.9562094484251442,0.9462137336229124,0.9603389517470131,0.9452735698577595,0.9479188514947415,0.9473307147847408
Lay Down by OMB Peezy,0.9583563266476152,0.9489280173749667,0.9628063356263422,0.9415449642792428,0.9482957283593879,0.9493583980675484
The Friendship Song by Laura Jane Grace & the Devouring Mothers,0.9653512370052597,0.9579503833845496,0.9686464423554734,0.9503735969998817,0.9530012194234786,0.9528419973244966
All These Kisses by Tammy Rivera,0.949121766617086,0.9377770562702585,0.9595455029035467,0.9380069830662596,0.9450425764190208,0.9525869996473427
Victory by Trampled by Turtles,0.9634881810548713,0.9521307724892087,0.9629302736712919,0.9447957803803897,0.941714001368281,0.9428170245820491
Water Under the Bridge by The Lone Bellow,0.9578207433798045,0.9468716706576625,0.9556123261005809,0.9352412947426892,0.9420144634957202,0.9374654574852879
Powercore by Nekrogoblikon,0.9486611025248896,0.9501036718501121,0.9517732858706469,0.9605468780443702,0.9349882323436489,0.934626100971661
Believer by Emily King,0.9555164419846199,0.9460265606535806,0.9597537645871672,0.9437277816873615,0.9393590838906161,0.9469119055774728
LA by Boy Harsher,0.9577487518188954,0.9483559441745963,0.962377241441872,0.9409269966740027,0.9503317722994754,0.9500828934165455
Unappreciated by Yung Bleu,0.9503466813096044,0.9402758307452705,0.9575115903651837,0.9417484354552852,0.938100559245864,0.9455006230348427
Going Nowhere by Darren Criss,0.9639481585045497,0.9555392451780759,0.9662498008400497,0.9500311582771972,0.942780149101673,0.9481467181283574
Work This Time by King Gizzard & The Lizard Wizard,0.9551339303455617,0.9515447240619661,0.9601189442528153,0.9337478545739026,0.9444011863697925,0.9425727877631322
Criminal by Prof,0.9622330652009554,0.9501963002534396,0.9600877170720674,0.9336553683881664,0.9487780908770821,0.9438178069487952
Modern World by Wolf Parade,0.9658285967719111,0.9574098753000037,0.9597223525093111,0.9444258636232389,0.9467255375118341,0.9377169742569689
Saint Claude (Version Française) by Christine and the Queens,0.9560287417123153,0.9486573992191387,0.960983876437054,0.960806245777879,0.941502219124622,0.948047705900223
I Got Angels by Emcee N.I.C.E.,0.9566255108225978,0.9466337196427554,0.9666607651852525,0.9449711354339159,0.9522716526595614,0.955524300566105
ICY GRL by Saweetie,0.9489775620623931,0.9405293846984333,0.9609733605363505,0.9387617856705454,0.9418117374242045,0.950837958856479
The Race by Tay-K,0.9453599432105597,0.9377655000903125,0.9564215382139847,0.9307127702681718,0.9412308063504607,0.9456085022973719
