"Timestamp","Which music streaming app do you use most often?","How often do you listen to music on any of these apps?","What is the main way you listen to music on these apps?","How often do you listen to personalized smart playlists (like Discover Weekly, Daily Mix, Stations, etc.)?","Does your music streaming app give you recommendations that fit your tastes? ","Do you use more than one streaming service?","Which other music streaming app(s) do you use? ","Why do you use more than one?","Does one of your streaming apps give better recommendations than the other? Which one?","What do you wish your streaming app(s) did better? What feature(s) would you add?"
"2019/04/10 12:33:57 PM AST","Spotify","Sometimes (at least once a week)","I listen to personalized smart playlists (like Discover Weekly, Daily Mix, etc.)","Sometimes (at least once a week)","Sometimes","Yes","Pandora","I got used to using Pandora when I worked in a kitchen that used it","Pandora","I would like to have newer artists/song suggestions added into my Daily mix"
"2019/04/10 12:33:59 PM AST","Spotify","Sometimes (at least once a week)","I listen to personalized smart playlists (like Discover Weekly, Daily Mix, etc.)","Sometimes (at least once a week)","Often","No","","","","Kind of miss the random-ness of Pandora. You could be surprised with the next song. With Spotify, you have to pick with intent, or curate ahead of time. Happy to be interviewed more (this is Kara!!)"
"2019/04/10 12:35:55 PM AST","Spotify","Often (every day)","I listen to albums","Sometimes (at least once a week)","Sometimes","No","","","","more foreign music"
"2019/04/10 12:37:48 PM AST","Pandora","Often (every day)","I listen to “radio” stations (based on artists/genre)","Almost never","Occasionally","Yes","Spotify","Pandora is better for ""radio"" stations in discovering new songs and hearing songs similar to what I like, also it is free. Spotify is better for finding and setting up music that I know I like and want to hear.","Pandora","I wish it continuously added new songs to radio stations I listen to because eventually I'll keep hearing the same songs over and over. I wish it had more music that is not mainstream."
"2019/04/10 12:38:26 PM AST","Apple Music","Often (every day)","I create my own playlists","Sometimes (at least once a week)","Sometimes","No","","","","Better recommendations for music that I like. An option to have different radio stations for the different music genres that I like."
"2019/04/10 12:39:17 PM AST","Spotify","Often (every day)","I listen to albums","Almost never","Sometimes","No","","","","remembered recently played songs that I had listened to by adding to queue, not just songs i clicked to play immediately"
"2019/04/10 12:39:30 PM AST","Spotify","Often (every day)","I listen to albums","Occasionally","Sometimes","No","","","","I wish that the ""top music of the year"" stuff spotify did was...more? better? I love listening to my top 100 playlist! I really like the idea behind the new-ish daily mixes but they honestly play too many ""recommended"" songs i.e. like their radio channels that exist and not just...stuff I already like and have been listening too. Like, obviously I spend 10 hours a week listening to one direction, it's cool if that is like, 25% of my pop playlist, instead of like, 5% and 20% randos i don't actually like."
"2019/04/10 12:39:30 PM AST","Tidal","Often (every day)","I listen to personalized smart playlists (like Discover Weekly, Daily Mix, etc.)","Sometimes (at least once a week)","Occasionally","No","","","","Segmented listening spaces, so a brief foray into the Blues doesn't alter my recommendations for months"
"2019/04/10 12:46:34 PM AST","Spotify","Often (every day)","I create my own playlists","Almost never","Almost never","No","","","","I wish they loaded quicker
"
"2019/04/10 12:52:45 PM AST","Google Play Music","Sometimes (at least once a week)","I listen to personalized smart playlists (like Discover Weekly, Daily Mix, etc.)","Sometimes (at least once a week)","Often","Yes","Pandora","different music on playlists","Pandora","selected by humans of the same taste. "
