,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
0,How Far I'll Go,Auli'i Cravalho,163386,74,11/18/16,,6mb6lVLNrcUgLnEN8QnDJd,5mnS9jJdKQQcRSqFu5YPVe
1,Know Who You Are,Auli'i Cravalho,72626,61,11/18/16,,2wCRJwiL1WSrW0Dwfco7Nj,5mnS9jJdKQQcRSqFu5YPVe
2,How Far I'll Go - Reprise,Auli'i Cravalho,87346,61,11/18/16,,32pqqCrnIC5O5iE9c218PJ,5mnS9jJdKQQcRSqFu5YPVe
3,Live Your Story,Auli'i Cravalho,206007,50,8/3/18,,6dXkX4y7QWoTkhjAnjRw7h,5mnS9jJdKQQcRSqFu5YPVe
4,Perfect - Rise Cast Version,Rise Cast,278040,42,5/11/18,https://p.scdn.co/mp3-preview/d867cee9ef5c7f8b368f9da348d06b6b305c63a7?cid=80aa7a928c4541428fab1590b72d13b5,7Jt9Y3buDflRaSSuy20Byh,7IfYfy6wD9b12MlJYl099P
5,Glorious - Rise Cast Version,Rise Cast,147952,38,3/9/18,https://p.scdn.co/mp3-preview/fcc0e71976823b3f5e06498563feeeef1d13d567?cid=80aa7a928c4541428fab1590b72d13b5,0hasaAKHUsmlAVbeo6jBUt,7IfYfy6wD9b12MlJYl099P
6,Scars To Your Beautiful - Rise Cast Version,Rise Cast,258933,32,4/24/18,https://p.scdn.co/mp3-preview/251f6c965fe45c23e806142ec1ffcb2c8d62d45a?cid=80aa7a928c4541428fab1590b72d13b5,1rffHCBOEXWWl4FjSPToyE,7IfYfy6wD9b12MlJYl099P
7,Mama Who Bore Me - Rise Cast Version,Rise Cast,120960,28,4/13/18,https://p.scdn.co/mp3-preview/1e1c98b1cef1e0471b1b34ad612a8cb69f74cd9c?cid=80aa7a928c4541428fab1590b72d13b5,4AxvU1vUh19aQk9aA7QGCQ,7IfYfy6wD9b12MlJYl099P
8,The Guilty Ones - Rise Cast Version,Rise Cast,211956,26,4/13/18,https://p.scdn.co/mp3-preview/486667209d54ebf4265a219a5da4b7119742c70f?cid=80aa7a928c4541428fab1590b72d13b5,0salYy0gJrLwAHZ73uYChV,7IfYfy6wD9b12MlJYl099P
9,Those You've Known - Rise Cast Version,Rise Cast,111160,20,5/11/18,https://p.scdn.co/mp3-preview/7e8558de1a0180593946e1326464704a1a21a34e?cid=80aa7a928c4541428fab1590b72d13b5,3XSIH7n9qyqY7PS3HzDYNx,7IfYfy6wD9b12MlJYl099P
10,WANT,TAEMIN,208967,68,2/11/19,https://p.scdn.co/mp3-preview/e9e8dfdc8b8396e12a0a5a4addf4f3f525b6d972?cid=80aa7a928c4541428fab1590b72d13b5,0aLG42zaidNkblhiQgJknP,13rF01aOogvnkuQXOlgTW8
11,MOVE,TAEMIN,211949,65,10/16/17,https://p.scdn.co/mp3-preview/9fbdbddf863b524dd4f1a960dcdc0bea37acc151?cid=80aa7a928c4541428fab1590b72d13b5,1cgBWgoL6520lR2QZDzdGN,13rF01aOogvnkuQXOlgTW8
12,Thirsty,TAEMIN,206993,55,10/16/17,https://p.scdn.co/mp3-preview/5e4e2f9151096a7e43eee6f5397aed51d5a42515?cid=80aa7a928c4541428fab1590b72d13b5,2nxYJsog7BFm0xCg90MIQq,13rF01aOogvnkuQXOlgTW8
13,Press Your Number,TAEMIN,226257,54,2/23/16,https://p.scdn.co/mp3-preview/ce6388252f1b07271a66216114ddf7fe4266982c?cid=80aa7a928c4541428fab1590b72d13b5,1T7NW3LwpJZw381bfiPPBz,13rF01aOogvnkuQXOlgTW8
14,Artistic Groove,TAEMIN,217967,54,2/11/19,https://p.scdn.co/mp3-preview/4859d204126ea2f2f6439ac6fce1180d84e11562?cid=80aa7a928c4541428fab1590b72d13b5,3NoazwpMAu02KkRwzjM3aS,13rF01aOogvnkuQXOlgTW8
15,Flame of Love - (Korean Version) [Bonus Track],TAEMIN,231762,53,10/16/17,https://p.scdn.co/mp3-preview/520daf662ae56967603a8f87f8b4c5c033a5ad29?cid=80aa7a928c4541428fab1590b72d13b5,4c2gCfdobu4UeGNhPqgTJg,13rF01aOogvnkuQXOlgTW8
16,Under My Skin,TAEMIN,226840,53,11/5/18,,4yyPSplZ3LB7n1KYvhfwtm,13rF01aOogvnkuQXOlgTW8
17,괴도 (Danger),TAEMIN,191453,52,8/19/14,https://p.scdn.co/mp3-preview/b0d76540c5d7c99f9866c09a9866acaac102d2d3?cid=80aa7a928c4541428fab1590b72d13b5,5hcO4JPFMFgQ5edWGhhhaG,13rF01aOogvnkuQXOlgTW8
18,Shadow,TAEMIN,189459,50,2/11/19,https://p.scdn.co/mp3-preview/f48eba7bd12b32d8c819509f859a47f6f2d9abdf?cid=80aa7a928c4541428fab1590b72d13b5,4gQoAKDYQbufqj2gygOeGK,13rF01aOogvnkuQXOlgTW8
