,track_name,artist,duration,popularity,release_date,mp3,track_id,artist_id
0,Bad Liar,Imagine Dragons,260773,88,2018-11-09,,2RSHsoi04658QL5xgQVov3,53XhwfbYqKCa1cC15pYq2q
1,Believer,Imagine Dragons,204346,87,2017-06-23,,0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q
2,Thunder,Imagine Dragons,187146,86,2017-06-23,,1zB4vmk8tFRmM9UULNzbLB,53XhwfbYqKCa1cC15pYq2q
3,Natural,Imagine Dragons,189466,85,2018-11-09,,2FY7b99s15jUprqC0M5NCT,53XhwfbYqKCa1cC15pYq2q
4,Whatever It Takes,Imagine Dragons,201240,82,2017-06-23,,6Qn5zhYkTa37e91HC1D7lb,53XhwfbYqKCa1cC15pYq2q
5,Born To Be Yours,Kygo,193320,68,2018-06-15,,0WVAQaxrT0wsGEG4BCVSn2,23fqKkggKUBHNkbKtXEls4
6,Demons,Imagine Dragons,175200,72,2012-01-01,,3LlAyCYU26dvFZBDUIMb7a,53XhwfbYqKCa1cC15pYq2q
7,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,243490,77,2016-06-24,https://p.scdn.co/mp3-preview/96f9689e58c4d6188cc269c0c2089036c3817a2e?cid=80aa7a928c4541428fab1590b72d13b5,4dASQiO1Eoo3RJvt74FtXB,55Aa2cqylxrFIXC767Z865
8,Radioactive,Imagine Dragons,186813,72,2012-01-01,,4G8gkOterJn0Ywt6uhqbhp,53XhwfbYqKCa1cC15pYq2q
9,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",Imagine Dragons,210933,74,2018-11-09,,2bzitsPcImYC6DZWvvLCQi,53XhwfbYqKCa1cC15pYq2q
10,Grow As We Go,Ben Platt,249426,68,2019-03-29,https://p.scdn.co/mp3-preview/ef89ad6d8da7b7a6be355d88e7728a9ccfdc15d3?cid=80aa7a928c4541428fab1590b72d13b5,6hYvw3LLTViP2mT4MpDNmT,6qGkLCMQkNGOJ079iEcC5k
11,Waving Through A Window,Ben Platt,236809,56,2016-12-02,https://p.scdn.co/mp3-preview/5de8bdbf958204b1d9f5e33d64e2f165457af21c?cid=80aa7a928c4541428fab1590b72d13b5,63Q9hAFTga7rqYRrAhwIyR,6qGkLCMQkNGOJ079iEcC5k
12,Temporary Love,Ben Platt,218826,66,2019-03-29,https://p.scdn.co/mp3-preview/994b63e59d70c3db0b4bc39500bd8016d3212eb2?cid=80aa7a928c4541428fab1590b72d13b5,614GWtz7F9A61E9OPZqNkU,6qGkLCMQkNGOJ079iEcC5k
